22.75,1,-2.3805,1.3598,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
23,1,-2.6301,1.3448,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
23.25,1,-2.8796,1.3298,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
23.5,1,-3.1292,1.3148,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
23.75,1,-3.3787,1.2998,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
24,1,-3.6283,1.2848,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
24.25,1,-3.8778,1.2698,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
24.5,1,-4.1274,1.2548,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
24.75,1,-4.3769,1.2398,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
25,1,-4.6265,1.2248,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
25.25,1,-4.876,1.2098,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
25.5,1,-5.1256,1.1948,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
25.75,1,-5.3751,1.1798,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
26,1,-5.6247,1.1648,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
26.25,1,-5.8742,1.1498,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
26.5,1,-6.1238,1.1348,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
26.75,1,-6.3733,1.1198,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
27,1,-6.6229,1.1048,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
